There are 180,350 different words in the collocation database for this query (Query "{stellen/V}" (case-sensitive) returned 249,044 matches in 197,633 different texts)  
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
17789	Unita	1483	8.116	7	7
17790	Unmißverständlich	70	0.383	7	7
17791	Unterbezirk	340	1.861	7	7
17792	Unterelbe	654	3.579	7	7
17793	Unteren	437	2.392	7	6
17794	Unterhändler	1668	9.129	7	7
17795	Untermieter	605	3.311	7	7
17796	Unterrichtsmaterial	169	0.925	7	7
17797	Unterschlagung	768	4.203	7	7
17798	Untätigkeit	1447	7.919	7	7
17799	Unzufriedenheit	2882	15.773	7	7
17800	Urs	1064	5.823	7	7
17801	Ursprung	3082	16.867	7	7
17802	Ussama	2392	13.091	7	7
17803	VEIT	2035	11.137	7	7
17804	VORAB	9	0.049	7	7
17805	Vancouver	1118	6.119	7	7
17806	Vefügung	29	0.159	7	7
17807	Verarbeitung	2030	11.11	7	7
17808	Verbots	1429	7.821	7	7
17809	Verdrängung	2656	14.536	7	7
17810	Vereinspräsident	274	1.5	7	7
17811	Verena	1736	9.501	7	7
17812	Verfassungsbruch	431	2.359	7	7
17813	Verfassungstreue	295	1.615	7	7
17814	Verfechter	2268	12.412	7	7
17815	Verfilmung	3961	21.678	7	7
17816	Verfügung.	145	0.794	7	7
17817	Vergangenen	886	4.849	7	7
17818	Verhafteten	1086	5.943	7	7
17819	Verhaltenskodex	620	3.393	7	7
17820	Verhandlungstagen	618	3.382	7	7
17821	Verherrlichung	502	2.747	7	7
17822	Verhinderung	2233	12.221	7	7
17823	Verkehrsministeriums	382	2.091	7	7
17824	Verkehrsschilder	206	1.127	7	6
17825	Verlagsgruppe	562	3.076	7	7
17826	Vermieterin	522	2.857	7	7
17827	Verschwendung	1673	9.156	7	7
17828	Versorgungsamt	126	0.69	7	6
17829	Verspätung	3370	18.443	7	7
17830	Versteck	1391	7.613	7	7
17831	Versuchskaninchen	497	2.72	7	7
17832	Vertrags	1394	7.629	7	7
17833	Vertrauensbruch	353	1.932	7	7
17834	Vertrautheit	511	2.797	7	7
17835	Verzehr	1703	9.32	7	7
17836	Videokamera	1076	5.889	7	7
17837	Videokameras	935	5.117	7	7
17838	Vielerorts	355	1.943	7	7
17839	Vielseitigkeit	396	2.167	7	7
17840	View	635	3.475	7	7
17841	Viktor	2307	12.626	7	7
17842	Visite	979	5.358	7	7
17843	Viva	2482	13.583	7	6
17844	Volkmann	326	1.784	7	7
17845	Volkspark	1229	6.726	7	7
17846	Volleyball	1156	6.327	7	7
17847	sos	43	0.235	7	7
17848	spannendsten	500	2.736	7	7
17849	spart	4302	23.544	7	7
17850	spontane	1795	9.824	7	7
17851	sprechende	798	4.367	7	7
17852	stamme	1447	7.919	7	7
17853	starr	1178	6.447	7	7
17854	startete	4095	22.411	7	7
17855	statistisch	1960	10.727	7	7
17856	statistische	1096	5.998	7	7
17857	steuert	2560	14.01	7	7
17858	stillgelegt	2350	12.861	7	7
17859	stillschweigend	1094	5.987	7	7
17860	stolze	2194	12.007	7	7
17861	strafbare	423	2.315	7	7
17862	strahlt	3566	19.516	7	7
17863	streiken	3130	17.13	7	6
17864	strukturell	1202	6.578	7	7
17865	strukturellen	1877	10.272	7	7
17866	studentische	1528	8.362	7	7
17867	stärkeren	2107	11.531	7	7
17868	stürmen	2335	12.779	7	7
17869	subventioniert	1986	10.869	7	7
17870	swb	1296	7.093	7	7
17871	systematische	1984	10.858	7	7
17872	sämtlichen	1986	10.869	7	7
17873	t	4855	26.57	7	7
17874	tagsüber	3219	17.617	7	7
17875	tausenden	1686	9.227	7	7
17876	taz-Autor	638	3.492	7	7
17877	taz-Autorin	856	4.685	7	7
17878	taz-intern	398	2.178	7	7
17879	teile	1425	7.799	7	7
17880	teilnahm	992	5.429	7	7
17881	theatralisch	550	3.01	7	7
17882	tragenden	928	5.079	7	7
17883	trainieren	3031	16.588	7	7
17884	tue	3143	17.201	7	7
17885	tötet	2185	11.958	7	7
17886	umgedreht	877	4.8	7	6
17887	umgeht	2388	13.069	7	7
17888	un	3171	17.354	7	7
17889	unauffällig	2186	11.964	7	7
17890	unaufhörlich	923	5.051	7	7
17891	und/oder	1803	9.867	7	7
17892	unerbittlich	1047	5.73	7	7
17893	ungebrochen	1894	10.365	7	7
17894	ungeeignet	1945	10.645	7	7
17895	ungeheuer	2108	11.537	7	7
17896	ungeklärte	800	4.378	7	7
17897	ungerecht	3481	19.051	7	7
17898	ungerührt	1221	6.682	7	7
17899	ungewohnt	1477	8.083	7	7
17900	unkommentiert	541	2.961	7	7
17901	unsinnig	2108	11.537	7	7
17902	unterbinden	2794	15.291	7	7
17903	untergetaucht	1003	5.489	7	7
17904	unterirdischen	2043	11.181	7	7
17905	unterlaufen	2817	15.417	7	7
17906	unterliegt	2060	11.274	7	7
17907	unternommen	4860	26.598	7	7
17908	untersagte	1072	5.867	7	7
17909	unterschlagen	1189	6.507	7	7
17910	unterschätzen	1473	8.061	7	7
17911	unterzeichnete	2029	11.104	7	7
17912	unterziehen	2109	11.542	7	6
17913	unterzogen	1684	9.216	7	7
17914	unvermeidliche	964	5.276	7	7
17915	unverzichtbare	605	3.311	7	7
17916	unwidersprochen	625	3.421	7	7
17917	unzufrieden	3206	17.546	7	7
17918	unüberwindbare	162	0.887	7	7
17919	urbane	1319	7.219	7	7
17920	usw	933	5.106	7	6
17921	ver.di	1807	9.889	7	7
17922	verankern	1353	7.405	7	7
17923	verbleibenden	2102	11.504	7	7
17924	verbliebene	929	5.084	7	7
17925	verdeckt	1963	10.743	7	7
17926	verdeutlicht	1828	10.004	7	7
17927	verdächtigen	1371	7.503	7	7
17928	vereidigt	1116	6.108	7	7
17929	vereinbarte	2596	14.207	7	7
17930	vereinen	1878	10.278	7	7
17931	verfaßt	2015	11.028	7	7
17932	verfeindeten	1440	7.881	7	7
17933	verfällt	1550	8.483	7	7
17934	verfügbar	1923	10.524	7	7
17935	vergangenem	1221	6.682	7	7
17936	verlange	1479	8.094	7	7
17937	verletzte	3203	17.529	7	7
17938	verlängerte	1695	9.276	7	7
17939	verlässt	4645	25.421	7	7
17940	vermutete	2280	12.478	7	7
17941	vernachlässigen	1184	6.48	7	7
17942	vernehmen	2293	12.549	7	7
17943	vernetzen	1015	5.555	7	7
17944	versammelte	1353	7.405	7	7
17945	verschwindend	652	3.568	7	7
17946	versprochenen	1881	10.294	7	7
17947	versteckten	1972	10.792	7	7
17948	verstorbene	1960	10.727	7	7
17949	verteidigten	905	4.953	7	7
17950	vertrauen	2981	16.314	7	7
17951	vertreibt	1692	9.26	7	7
17952	vertretene	762	4.17	7	7
17953	verwendete	1183	6.474	7	7
17954	verworfen	1864	10.201	7	7
17955	verzeichnen	3560	19.483	7	7
17956	verzweifelten	2049	11.214	7	7
17957	verzögern	2037	11.148	7	7
17958	vielerorts	1822	9.971	7	7
17959	vierziger	902	4.936	7	7
17960	vietnamesischen	2010	11	7	7
17961	vollzieht	1865	10.207	7	7
17962	vorausgegangen	1182	6.469	7	7
17963	vorbereiteten	1046	5.725	7	7
17964	vorgestellten	1881	10.294	7	7
17965	vorherrschende	849	4.646	7	7
17966	vorschnell	834	4.564	7	7
17967	vorzunehmen	1744	9.545	7	7
17968	wackelt	1426	7.804	7	7
17969	wagten	1133	6.201	7	7
17970	waschen	2422	13.255	7	7
17971	weckt	2593	14.191	7	7
17972	weh	4527	24.775	7	7
17973	weich	2494	13.649	7	7
17974	weiterentwickelt	1422	7.782	7	6
17975	weitestgehend	1295	7.087	7	7
17976	weitet	1207	6.606	7	7
17977	weitreichenden	992	5.429	7	6
17978	weltliche	602	3.295	7	7
17979	werdet	1306	7.147	7	7
17980	wertvoll	1693	9.265	7	7
17981	wichtigere	858	4.696	7	7
17982	widerwillig	1085	5.938	7	7
17983	widmet	6292	34.435	7	7
17984	wiegt	2761	15.11	7	7
17985	wieweit	334	1.828	7	7
17986	willkürlich	2317	12.68	7	7
17987	winkt	3428	18.761	7	7
17988	wirkliches	858	4.696	7	7
17989	wirkungsvoll	1198	6.556	7	7
17990	wissenschaftlicher	2713	14.848	7	7
17991	wohlweislich	429	2.348	7	7
17992	wollt	2575	14.092	7	7
17993	worüber	1895	10.371	7	7
17994	wovon	4431	24.25	7	7
17995	www.opferschutz.net	7	0.038	7	7
17996	wählten	2543	13.917	7	7
17997	wär	3927	21.492	7	7
17998	würdig	1338	7.323	7	7
17999	zahllosen	2146	11.745	7	7
18000	zehntausend	2343	12.823	7	7
18001	zerknirscht	568	3.109	7	7
18002	ziehe	2459	13.458	7	7
18003	ziviles	313	1.713	7	7
18004	zugeben	3752	20.534	7	7
18005	zugelegt	1932	10.573	7	7
18006	zugespitzt	1185	6.485	7	7
18007	zukünftiges	299	1.636	7	6
18008	zulegen	1631	8.926	7	7
18009	zurückgeben	1838	10.059	7	7
18010	zurückgeschickt	1480	8.1	7	7
18011	zurückgreifen	2564	14.032	7	7
18012	zurückkehrte	1152	6.305	7	7
18013	zusammengefasst	1371	7.503	7	7
18014	zusammengeschlossenen	675	3.694	7	7
18015	zweijährigen	1645	9.003	7	7
18016	Ägyptens	1437	7.864	7	7
18017	Ältestenrat	658	3.601	7	7
18018	Çiller	997	5.456	7	7
18019	ÖPNV	1630	8.921	7	7
18020	Ökobank	955	5.227	7	7
18021	ÜBER	4679	25.607	7	7
18022	Überlebens	642	3.514	7	7
18023	Überraschenderweise	282	1.543	7	7
18024	Überreste	1841	10.075	7	7
18025	Überseemuseum	893	4.887	7	7
18026	Übersiedlung	409	2.238	7	7
18027	Überweisung	844	4.619	7	7
18028	ärgert	4428	24.233	7	7
18029	ästhetischer	855	4.679	7	7
18030	äußerlich	1788	9.785	7	7
18031	ökonomischer	1782	9.753	7	7
18032	überdenkt	140	0.766	7	7
18033	überflüssige	1296	7.093	7	7
18034	überfällige	1209	6.617	7	7
18035	übergangen	1217	6.66	7	7
18036	übergehen	2005	10.973	7	7
18037	überhöhter	474	2.594	7	7
18038	übermorgen	1285	7.033	7	7
18039	übermäßig	1029	5.632	7	7
18040	überraschen	2158	11.81	7	7
18041	üble	1181	6.463	7	7
18042	üblen	1048	5.736	7	7
18043	'93	430	2.353	7	6
18044	06	2466	13.496	7	7
18045	08	2652	14.514	7	7
18046	1.100	2048	11.208	7	7
18047	107	1604	8.778	7	7
18048	11,5	726	3.973	7	7
18049	12,5	1204	6.589	7	7
18050	133	731	4.001	7	7
18051	137	981	5.369	7	7
18052	138	779	4.263	7	7
18053	141	784	4.291	7	7
18054	149	564	3.087	7	7
18055	17.000	2132	11.668	7	7
18056	1900	1810	9.906	7	7
18057	1914	1817	9.944	7	7
18058	1921	1233	6.748	7	7
18059	1927	1545	8.455	7	7
18060	1951	2484	13.594	7	7
18061	2.300	1076	5.889	7	7
18062	2016	678	3.711	7	7
18063	24jährige	1072	5.867	7	7
18064	260	1830	10.015	7	7
18065	281	752	4.116	7	7
18066	29jährige	977	5.347	7	7
18067	3,2	1806	9.884	7	7
18068	3001	1280	7.005	7	7
18069	330	1260	6.896	7	7
18070	35.000	2936	16.068	7	7
18071	4000	996	5.451	7	7
18072	43.	674	3.689	7	7
18073	44jährige	600	3.284	7	7
18074	450.000	1084	5.933	7	7
18075	5.500	1001	5.478	7	7
18076	50-Jährige	598	3.273	7	7
18077	5000	1311	7.175	7	7
18078	70er-Jahren	1931	10.568	7	7
18079	81	3469	18.985	7	7
18080	850.000	438	2.397	7	7
18081	90er-Jahren	1997	10.929	7	7
18082	AC	2397	13.118	7	7
18083	AC/DC-Coverbands	10	0.055	7	7
18084	ADAC	2262	12.379	7	7
18085	AL-Fraktion	311	1.702	7	7
18086	ALG	1264	6.918	7	7
18087	AOL	1295	7.087	7	6
18088	ASB	524	2.868	7	7
18089	AZ	1174	6.425	7	6
18090	Abberufung	564	3.087	7	7
18091	Abeba	1205	6.595	7	7
18092	Abel	1265	6.923	7	7
18093	Abendblatt	1567	8.576	7	7
18094	Abfindungen	1031	5.642	7	7
18095	Abfolge	1036	5.67	7	7
18096	Abnehmer	1462	8.001	7	7
18097	Abrechnung	3107	17.004	7	7
18098	Abschottung	1011	5.533	7	7
18099	Absperrung	840	4.597	7	7
18100	Absurdität	1118	6.119	7	7
18101	Abteilungen	2301	12.593	7	7
18102	Abwahlanträge	42	0.23	7	7
18103	Achtzigerjahre	1967	10.765	7	7
18104	Achtzigerjahren	1881	10.294	7	7
18105	Act	1492	8.165	7	7
18106	Adoption	956	5.232	7	7
18107	Agamben	249	1.363	7	6
18108	Agent	1995	10.918	7	7
18109	Ahaus	1894	10.365	7	7
18110	Aidid	672	3.678	7	6
18111	Aktionswoche	904	4.947	7	7
18112	Aktuelle	1889	10.338	7	7
18113	Alfredo	1026	5.615	7	7
18114	Alibi	1317	7.208	7	7
18115	Allawi	416	2.277	7	7
18116	Allee	4933	26.997	7	7
18117	Allmacht	577	3.158	7	7
18118	Alltagsleben	931	5.095	7	7
18119	Altersgruppe	1044	5.714	7	7
18120	Altersversorgung	999	5.467	7	7
18121	Althaus	1151	6.299	7	7
18122	Altmeister	1039	5.686	7	7
18123	Amman	1700	9.304	7	7
18124	Ampelkoalition	1255	6.868	7	7
18125	Amtsübernahme	651	3.563	7	7
18126	Analogie	717	3.924	7	7
18127	Andersen	1379	7.547	7	7
18128	Angabe	1667	9.123	7	7
18129	Angeklagter	1176	6.436	7	7
18130	Angie	805	4.406	7	7
18131	Angleichung	1781	9.747	7	7
18132	Anlegern	950	5.199	7	7
18133	Anpfiff	1302	7.126	7	7
18134	Anraten	534	2.923	7	6
18135	Anreiz	2345	12.834	7	7
18136	Ansturm	1983	10.853	7	7
18137	Antike	1629	8.915	7	7
18138	Antisemiten	887	4.854	7	7
18139	Anwaltskammer	276	1.511	7	6
18140	Anzeigenkunden	465	2.545	7	6
18141	Apotheker	1410	7.717	7	7
18142	Arabern	1414	7.739	7	7
18143	Arabischen	2469	13.512	7	7
18144	ArbeitnehmerInnen	1646	9.008	7	7
18145	Arbeitsamtes	1338	7.323	7	7
18146	Arbeitsergebnisse	188	1.029	7	7
18147	Arbeitsfähigkeit	299	1.636	7	7
18148	Arbeitsverhältnisse	1031	5.642	7	7
18149	Arbeitszimmer	883	4.833	7	7
18150	Arizona	1421	7.777	7	7
18151	Armer	571	3.125	7	7
18152	Arrangement	1205	6.595	7	7
18153	Arroganz	2970	16.254	7	7
18154	Art.	970	5.309	7	7
18155	Arts	1439	7.875	7	7
18156	Asbrock	109	0.597	7	6
18157	Aserbaidschan	2514	13.759	7	7
18158	Asiaten	1045	5.719	7	7
18159	Asphalt	1956	10.705	7	7
18160	Assimilation	643	3.519	7	7
18161	Association	1901	10.404	7	7
18162	Asylgesuch	102	0.558	7	7
18163	Asylsuchende	1350	7.388	7	7
18164	Atomtransporte	936	5.123	7	7
18165	Attentate	2322	12.708	7	7
18166	Auditorium	1000	5.473	7	7
18167	Auffassungen	1612	8.822	7	7
18168	Aufgebot	1251	6.846	7	7
18169	Aufruhr	2318	12.686	7	7
18170	Aufschrift	4128	22.592	7	7
18171	Aufseher	622	3.404	7	7
18172	Aufsichtsratsvorsitzende	644	3.525	7	7
18173	Aufsichtsratsvorsitzenden	425	2.326	7	7
18174	Aufsätze	875	4.789	7	7
18175	Auftraggebern	460	2.518	7	7
18176	Auftritten	2433	13.315	7	7
18177	Aula	967	5.292	7	7
18178	Aura	2620	14.339	7	7
18179	Auserwählte	268	1.467	7	7
18180	Ausfall	1727	9.452	7	7
18181	Ausführlich	425	2.326	7	7
18182	Ausgehend	663	3.628	7	7
18183	Auskunftsersuchen	50	0.274	7	7
18184	Auslaufmodell	711	3.891	7	7
18185	Ausländergesetz	1364	7.465	7	7
18186	Ausländerpolitik	1682	9.205	7	7
18187	Aussagekraft	577	3.158	7	7
18188	Aussteiger	1074	5.878	7	7
18189	Autonome	2336	12.784	7	7
18190	BBU	657	3.596	7	6
18191	BE	859	4.701	7	7
18192	BELGRAD	438	2.397	7	7
18193	BERND	1963	10.743	7	7
18194	BVB	1564	8.559	7	7
18195	Bachelor	1648	9.019	7	7
18196	Bagis	699	3.826	7	7
18197	Bahnhöfe	1716	9.391	7	7
18198	Bahrain	812	4.444	7	6
18199	Bakterien	2279	12.473	7	7
18200	Ballett	1973	10.798	7	7
18201	Banktresore	14	0.077	7	7
18202	Barbarei	1447	7.919	7	7
18203	Barenboim	1056	5.779	7	7
18204	Batzen	610	3.338	7	7
18205	Baufirmen	943	5.161	7	7
18206	Bauherren	1483	8.116	7	7
18207	Baumgart	411	2.249	7	7
18208	Bauvorhaben	2140	11.712	7	7
18209	Beats	2394	13.102	7	7
18210	Beau	393	2.151	7	7
18211	Becks	929	5.084	7	7
18212	Bediensteten	1221	6.682	7	7
18213	Befehlsgewalt	216	1.182	7	6
18214	Begleitet	1513	8.28	7	7
18215	Begräbnis	983	5.38	7	7
18216	Begräbnis-Jahrestag	7	0.038	7	7
18217	Begründet	983	5.38	7	7
18218	Behinderter	771	4.22	7	7
18219	Behler	323	1.768	7	7
18220	Behördensprecherin	385	2.107	7	7
18221	Beinchen	209	1.144	7	7
18222	Beiratsmitglieder	182	0.996	7	7
18223	Beisein	1255	6.868	7	7
18224	Beiträgen	2629	14.388	7	7
18225	Bekanntenkreis	898	4.915	7	7
18226	Beleg	3526	19.297	7	7
18227	Beleidigungen	1157	6.332	7	7
18228	Beliebigkeit	1210	6.622	7	7
18229	Beliebtheit	1986	10.869	7	7
18230	Bell	1142	6.25	7	7
18231	Belästigungen	598	3.273	7	7
18232	Benedikt	2209	12.089	7	7
18233	Benin	998	5.462	7	7
18234	Benneter	868	4.75	7	7
18235	Bergung	833	4.559	7	7
18236	Berichtigungskastens	11	0.06	7	1
18237	Berlusconis	1772	9.698	7	7
18238	Bern	2451	13.414	7	7
18239	Bertelsmann-Stiftung	432	2.364	7	7
18240	Berufsgruppen	1071	5.861	7	7
18241	Berufsverbot	1346	7.366	7	7
18242	Berücksichtigung	2462	13.474	7	7
18243	Beschimpfung	387	2.118	7	7
18244	Beschreibungen	1251	6.846	7	7
18245	Beschuldigte	1718	9.402	7	7
18246	Bessere	941	5.15	7	7
18247	Best	1819	9.955	7	6
18248	Bestechlichkeit	1391	7.613	7	7
18249	Besuche	2125	11.63	7	7
18250	Betreten	1452	7.947	7	7
18251	Beweislage	782	4.28	7	7
18252	Bewerbern	1489	8.149	7	7
18253	Bezirksbürgermeisterin	535	2.928	7	7
18254	Bezüglich	345	1.888	7	7
18255	Biere	663	3.628	7	7
18256	Bilanzen	1578	8.636	7	7
18257	Bildes	1548	8.472	7	7
18258	Bildschirme	979	5.358	7	7
18259	Bildungs	2225	12.177	7	7
18260	Bildungsauftrag	379	2.074	7	7
18261	Bildungsforscher	247	1.352	7	7
18262	Blankenburg	555	3.037	7	7
18263	Blase	839	4.592	7	7
18264	Blei	1442	7.892	7	7
18265	Bleibe	1309	7.164	7	7
18266	Bleyl	791	4.329	7	7
18267	Blickkontakt	386	2.113	7	7
18268	Blickpunkt	3612	19.768	7	7
18269	Bloch	1046	5.725	7	7
18270	Blockaden	2124	11.624	7	7
18271	Blutprobe	297	1.625	7	7
18272	Bohl	811	4.438	7	7
18273	Boll	976	5.341	7	7
18274	Bolz	673	3.683	7	7
18275	Bombardements	1093	5.982	7	7
18276	Botha	1230	6.732	7	7
18277	Boy	2152	11.777	7	7
18278	Boß	852	4.663	7	6
18279	Brandstiftung	2978	16.298	7	7
18280	Brav	409	2.238	7	7
18281	Bravo	2120	11.602	7	7
18282	Breitscheidplatz	948	5.188	7	7
18283	Bremerin	789	4.318	7	7
18284	Bremse	863	4.723	7	7
18285	Brustkrebs	1112	6.086	7	6
18286	Brutalität	2815	15.406	7	7
18287	Brötchen	2940	16.09	7	7
18288	Brüter	1056	5.779	7	6
18289	Buben	988	5.407	7	6
18290	Buchenwald	1610	8.811	7	7
18291	Buchprojekt	153	0.837	7	7
18292	Bukarest	2733	14.957	7	7
18293	Bundespost	981	5.369	7	7
18294	Bundestagsverwaltung	481	2.632	7	6
18295	Bundestagswahlkampf	1470	8.045	7	7
18296	Bundesvorsitzende	1390	7.607	7	7
18297	Burundi	2325	12.724	7	7
18298	Bushaltestellen	422	2.31	7	7
18299	Butler	1551	8.488	7	7
18300	Butter	3011	16.479	7	7
18301	Butz	996	5.451	7	7
18302	BvS	650	3.557	7	7
18303	Böses	1572	8.603	7	7
18304	Böttcherstraße	854	4.674	7	7
18305	Bündel	1466	8.023	7	7
18306	Bündnispartner	1623	8.882	7	7
18307	Bündnisse	2008	10.989	7	7
18308	Bürgermeistern	594	3.251	7	7
18309	Bürgernähe	625	3.421	7	7
18310	Bürgerversicherung	1072	5.867	7	7
18311	CCH	801	4.384	7	7
18312	CD-ROM	935	5.117	7	7
18313	CDU-Bundestagsabgeordnete	614	3.36	7	7
18314	CDU-Fraktionsvorsitzende	852	4.663	7	7
18315	CO2	3608	19.746	7	7
18316	CO2-Ausstoß	1297	7.098	7	7
18317	Caberta	326	1.784	7	7
18318	Cafe	2055	11.247	7	7
18319	Cannes	3088	16.9	7	7
18320	Captain	1200	6.567	7	7
18321	Care	603	3.3	7	5
18322	Carini	2022	11.066	7	7
18323	Castor-Behälter	538	2.944	7	7
18324	Chabrol	719	3.935	7	6
18325	Chefarzt	1194	6.535	7	7
18326	Chemiekonzern	718	3.93	7	7
18327	Christliche	673	3.683	7	7
18328	Chronik	1961	10.732	7	7
18329	Ciftlik	419	2.293	7	6
18330	Cinema	9603	52.555	7	7
18331	Clarke	898	4.915	7	7
18332	Coca-Cola	1553	8.499	7	7
18333	Collage	1555	8.51	7	7
18334	Compagnie	1001	5.478	7	7
18335	Computern	2192	11.996	7	7
18336	Correa	525	2.873	7	7
18337	DGB-Vorsitzende	783	4.285	7	7
18338	DONATH	870	4.761	7	7
18339	DRIBBUSCH	1102	6.031	7	7
18340	Dalai	3018	16.517	7	7
18341	Dana	1019	5.577	7	7
18342	Danziger	834	4.564	7	7
18343	Davor	2303	12.604	7	7
18344	Delors	1020	5.582	7	7
18345	Demokrat	1226	6.71	7	7
18346	Denkmalschutzamt	143	0.783	7	7
18347	Denkweisen	281	1.538	7	7
18348	Deputierten	738	4.039	7	7
18349	Deutliche	549	3.005	7	7
18350	Deutsches	2102	11.504	7	7
18351	Deutung	1260	6.896	7	7
18352	Diakonie	1501	8.215	7	7
18353	Dialekt	1375	7.525	7	7
18354	Dicke	1655	9.057	7	7
18355	Dienstgeheimnissen	172	0.941	7	7
18356	Dieselbe	530	2.901	7	7
18357	Diplomarbeit	678	3.711	7	7
18358	Diskurses	731	4.001	7	7
18359	Diskussionsveranstaltung	1036	5.67	7	7
18360	Disney	2211	12.1	7	7
18361	Dokumentarfilmer	930	5.09	7	7
18362	Dominic	1523	8.335	7	7
18363	Doppelte	1863	10.196	7	7
18364	Dorfes	2734	14.963	7	7
18365	Dortmunds	698	3.82	7	7
18366	Dosis	1485	8.127	7	7
18367	Dramen	1401	7.667	7	7
18368	Dreilinden	364	1.992	7	6
18369	Dreißig	1200	6.567	7	7
18370	Drinnen	1736	9.501	7	7
18371	Dritter	2616	14.317	7	7
18372	Drogendealer	807	4.417	7	7
18373	Drogenhandels	777	4.252	7	7
18374	Drogenhändler	985	5.391	7	7
18375	Drucksache	358	1.959	7	7
18376	Dschungel	2889	15.811	7	7
18377	DuMont	1088	5.954	7	7
18378	Duisenberg	431	2.359	7	7
18379	Dummheit	2449	13.403	7	7
18380	Dunkel	2554	13.978	7	7
18381	Durchaus	845	4.625	7	7
18382	Dutschke	2770	15.16	7	6
18383	Dutzenden	1029	5.632	7	7
18384	Dynamit	562	3.076	7	7
18385	Döring	1145	6.266	7	7
18386	E-Mails	2000	10.946	7	7
18387	EINE	1242	6.797	7	7
18388	EP	828	4.532	7	7
18389	EU-Erweiterung	535	2.928	7	7
18390	EU-Gipfel	1339	7.328	7	7
18391	EU-Recht	973	5.325	7	7
18392	EU-Richtlinie	1244	6.808	7	7
18393	EWE	824	4.51	7	5
18394	Ebert	1289	7.054	7	7
18395	Eckpfeiler	532	2.912	7	7
18396	Eckpunktepapier	293	1.604	7	7
18397	Ed	1877	10.272	7	7
18398	Editorial	989	5.413	7	7
18399	Ego	1564	8.559	7	7
18400	Eheschließung	646	3.535	7	7
18401	Ehrgeiz	2924	16.002	7	7
18402	Ehrlichkeit	1781	9.747	7	7
18403	Ei	3536	19.352	7	7
18404	Eichkorn	307	1.68	7	7
18405	Eier	5170	28.294	7	7
18406	Eifer	1909	10.448	7	7
18407	Eigenheim	953	5.216	7	7
18408	Eigenregie	763	4.176	7	7
18409	Eigentums	1449	7.93	7	7
18410	Eigenverantwortung	1282	7.016	7	7
18411	Eimsbütteler	571	3.125	7	7
18412	Einblick	4650	25.448	7	7
18413	Einfachheit	1132	6.195	7	7
18414	Einfuhr	1321	7.23	7	7
18415	Eingangsbereich	938	5.134	7	7
18416	Eingeständnis	1879	10.283	7	7
18417	Einig	1641	8.981	7	7
18418	Einigen	892	4.882	7	7
18419	Einkäufe	706	3.864	7	7
18420	Einlagen	1278	6.994	7	7
18421	Einreiseantrag	18	0.099	7	7
18422	Einsatzes	2315	12.67	7	7
18423	Einsichtnahme	167	0.914	7	7
18424	Eintrag	1333	7.295	7	7
18425	Eintreten	1081	5.916	7	7
18426	Einverständnis	2270	12.423	7	7
18427	Einwanderungsgesellschaft	279	1.527	7	7
18428	Einwanderungsland	1084	5.933	7	7
18429	existierende	1569	8.587	7	7
18430	exotische	1238	6.775	7	7
18431	explodiert	2699	14.771	7	7
18432	exzentrischen	492	2.693	7	7
18433	falle	2141	11.717	7	7
18434	farbigen	1255	6.868	7	7
18435	fasste	1303	7.131	7	7
18436	faszinierend	1427	7.81	7	7
18437	festere	71	0.389	7	7
18438	festgelegte	1297	7.098	7	7
18439	festzulegen	1897	10.382	7	7
18440	fetten	1797	9.835	7	7
18441	filmdienst	5011	27.424	7	7
18442	filmische	1573	8.609	7	7
18443	finanzielles	714	3.908	7	7
18444	finanzpolitische	942	5.155	7	7
18445	fleißig	2817	15.417	7	7
18446	flexiblen	950	5.199	7	7
18447	flüchtenden	309	1.691	7	7
18448	flüchtige	882	4.827	7	7
18449	folgend	1473	8.061	7	7
18450	formelle	814	4.455	7	7
18451	forschen	1812	9.917	7	7
18452	fotografierte	1130	6.184	7	7
18453	freiheitliche	430	2.353	7	7
18454	freizulassen	838	4.586	7	7
18455	frischgebackene	428	2.342	7	7
18456	frühe	3158	17.283	7	7
18457	fuhren	4054	22.187	7	7
18458	fundierte	764	4.181	7	7
18459	fälschlicherweise	1059	5.796	7	7
18460	gebannt	2423	13.261	7	7
18461	gebeutelten	1208	6.611	7	7
18462	gebührenfrei	352	1.926	7	7
18463	gedient	2371	12.976	7	7
18464	gedruckt	3551	19.434	7	7
18465	geduldet	2840	15.543	7	7
18466	gefoltert	4054	22.187	7	7
18467	gefährdete	1129	6.179	7	7
18468	gehaltenen	2089	11.433	7	7
18469	geheimer	1187	6.496	7	7
18470	gehenden	954	5.221	7	7
18471	gehoben	2281	12.483	7	7
18472	gehofft	2891	15.822	7	7
18473	gekippt	2661	14.563	7	7
18474	geklaut	2698	14.766	7	7
18475	gekleidete	1386	7.585	7	7
18476	gelogen	1838	10.059	7	7
18477	gelöscht	2392	13.091	7	7
18478	gemeinte	762	4.17	7	7
18479	gemütlich	3011	16.479	7	7
18480	genauere	799	4.373	7	7
18481	genetischen	1636	8.954	7	7
18482	genötigt	2158	11.81	7	7
18483	geplatzt	2639	14.443	7	7
18484	geratene	1536	8.406	7	7
18485	gereizt	1507	8.248	7	7
18486	gerichtlichen	1279	7	7	7
18487	geringem	1572	8.603	7	7
18488	gerissen	4135	22.63	7	7
18489	geschenkt	4697	25.706	7	7
